,0
0,28019844
1,28004326
2,27959118
3,27958964
4,27319711
5,27987827
6,27346766
7,27229835
8,27991807
9,27424533
10,28092312
11,28125023
12,28158771
13,28032114
14,27349781
15,21277427
16,21830789
17,26860934
18,27779683
19,26524484
20,26550538
21,27259884
22,27357178
23,28018116
24,27324492
25,27395077
26,22307355
27,27355275
28,28194338
29,21064399
30,28130978
31,27273310
32,26386030
33,28004334
34,27061012
35,28275398
36,28159994
37,22073414
38,27657146
39,27324507
40,27296186
41,27986367
42,27229114
43,25094091
44,25534507
45,27166185
46,25169012
47,27153156
48,26193354
49,28006216
50,28019844
51,28004326
52,27319711
53,27959118
54,28125023
55,28450269
56,27958964
57,27229835
58,27346766
59,27987827
60,27349781
61,27991807
62,21277427
63,27424533
64,28158771
65,21830789
66,26550538
67,28092312
68,26860934
69,28032114
70,22307355
71,26524484
72,27259884
73,27324492
74,27395077
75,27355275
76,21064399
77,28414730
78,27779683
79,27357178
80,28450268
81,26386030
82,28018116
83,27273310
84,27061012
85,28130978
86,27657146
87,22073414
88,27296186
89,27324507
90,28194338
91,28004334
92,25094091
93,6175225
94,25534507
95,27229114
96,27166185
97,28419725
98,28159994
99,25169012
