rank,°¡¼ö,ÀÛ°î,ÀÛ»ç,Æí°î
1,2098,1436,1436,1436
2,2096,1436,539,1436
3,1491,1699,900,1699
4,1004,762,1004,735
5,1096,814,760,814
6,1002,1936,730,1936
7,2098,1936,1497,1936
8,3,1658,1733,733
9,1786,1236,1236,478
10,1198,1395,1993,1944
11,1969,1998,1998,931
12,1004,2120,1004,2120
13,1604,1227,1227,733
14,2178,539,539,539
15,1660,733,1942,733
16,1806,1591,1591,733
17,1551,1684,1684,1842
18,1096,814,760,1505
19,1544,1436,1436,1436
20,1004,2016,1004,2126
21,993,2001,2001,2001
22,763,834,2148,837
23,2103,1591,1591,1591
24,1565,1936,1497,944
25,1824,1658,1993,1824
26,1648,2216,1940,2216
27,1603,1645,1731,733
28,583,517,517,517
29,826,1172,1984,1516
30,2049,1591,1591,1591
31,1558,733,733,733
33,1286,733,733,733
34,993,1572,746,1572
35,1359,647,1626,647
36,1004,1043,1004,1043
37,1211,1854,1854,733
38,1491,1756,1491,1756
39,37,733,733,733
40,329,733,733,733
42,1004,607,1004,607
43,1896,1658,852,1658
44,1731,1936,1497,733
45,1004,2016,1004,2016
46,1954,539,1954,539
47,1630,995,995,1436
48,1802,2167,1391,2201
49,1491,1699,900,1699
1,1896,1658,852,1658
2,2098,1436,1436,1436
3,3,1658,1733,733
4,1630,995,995,1436
5,2096,1436,539,1436
6,1004,762,1004,735
7,1491,1699,900,1699
8,1906,1660,1660,1605
9,814,1658,852,814
10,2146,475,1609,1420
11,1002,1936,730,1936
12,1096,814,760,814
13,2103,1591,1591,1591
14,1176,1186,760,1033
15,2098,1936,1497,1936
16,1611,1858,1998,510
17,995,830,830,830
18,1604,149,149,733
19,1551,1684,1684,1684
20,1604,1227,1227,733
21,1786,1236,1236,478
22,1320,754,754,754
23,2178,539,539,539
24,1004,2120,1004,2120
25,1969,1998,1998,931
26,1544,1436,1436,1436
27,993,2001,2001,2001
28,1806,1591,1591,733
29,329,733,733,733
30,1461,957,957,759
31,2049,1591,1591,1591
32,1551,1684,1684,1842
33,1096,814,760,1505
34,1660,733,1942,733
35,1163,733,1575,733
36,1603,1645,1731,733
37,490,1684,1684,1684
38,1565,1936,1497,944
39,2176,2160,2160,2160
40,1475,1699,900,1699
41,993,1572,746,1572
42,37,733,733,733
43,1359,647,1626,647
44,821,935,935,733
45,1004,2016,1004,2126
46,95,570,570,733
47,1424,252,252,252
48,1074,29,958,29
49,1198,1395,1993,1944
1,1099,854,854,854
2,2098,1436,1436,1436
3,1491,1699,900,1699
4,2096,1436,539,1436
5,3,1658,1733,733
6,1896,1658,852,1658
7,1604,149,149,733
8,1004,762,1004,735
9,1475,1699,900,1699
10,1002,1936,730,1936
11,2226,932,932,587
12,2098,1936,1497,1936
13,1096,814,760,814
14,1630,995,995,1436
15,1551,1684,1684,1684
16,1604,1227,1227,733
17,2103,1591,1591,1591
18,2176,2160,2160,2160
19,2178,539,539,539
20,993,2001,2001,2001
21,1611,1858,1998,510
22,2211,1123,2211,1123
23,1912,822,822,822
24,2146,475,1609,1420
25,1544,1436,1436,1436
26,1906,1660,1660,1605
27,1603,1645,1731,733
28,1786,1236,1236,478
29,1320,754,754,754
30,584,1658,1733,733
31,618,1789,1099,733
32,1917,733,733,733
33,2049,1591,1591,1591
34,814,1658,852,814
35,1074,29,958,29
36,1304,1339,104,1339
37,1806,1591,1591,733
