rank,°¡¼ö
1,554
2,477
3,2141
4,370
5,1787
6,2223
7,554
8,369
9,1019
10,874
11,851
12,370
13,1551
14,1340
15,582
16,1016
17,1243
18,1787
19,565
20,370
21,1130
22,1908
23,269
24,40
25,738
26,1962
27,729
28,510
29,1163
30,1224
31,1032
33,2142
34,1130
35,830
36,370
37,1670
38,2141
39,1313
40,1554
42,370
43,1176
44,1857
45,370
46,1469
47,988
48,1622
49,2141
1,1176
2,554
3,369
4,988
5,477
6,370
7,2141
8,65
9,544
10,2176
11,2223
12,1787
13,269
14,856
15,554
16,1861
17,1159
18,1551
19,1243
20,1551
21,1019
22,1337
23,1340
24,370
25,851
26,565
27,1130
28,1016
29,1554
30,2226
31,1224
32,1243
33,1787
34,582
35,2215
36,729
37,1282
38,40
39,2040
40,712
41,1130
42,1313
43,830
44,1441
45,370
46,262
47,2063
48,1730
49,874
1,190
2,554
3,2141
4,477
5,369
6,1176
7,1551
8,370
9,712
10,2223
11,863
12,554
13,1787
14,988
15,1243
16,1551
17,269
18,2040
19,1340
20,1130
21,1861
22,1336
23,474
24,2176
25,565
26,65
27,729
28,1019
29,1337
30,749
31,1822
32,1565
33,1224
34,544
35,1730
36,682
37,1016
38,370
39,1393
40,454
41,1130
42,1282
43,2227
44,1554
45,851
46,856
47,40
48,1302
49,1179
1,190
2,554
3,863
4,1402
5,2141
6,477
7,1960
8,369
9,712
10,1176
11,474
12,370
13,2223
14,1032
15,1551
16,2040
17,554
18,269
19,885
20,1243
21,1787
22,1861
23,988
24,860
25,1861
26,1551
27,1130
28,1623
29,788
30,549
31,1340
32,565
33,1565
34,729
35,1908
36,1130
37,1337
38,1224
39,262
40,1019
42,1649
43,2176
44,1282
45,1554
46,1393
47,1313
48,1730
49,749
50,65
1,190
2,554
3,1294
4,1175
5,638
6,1343
7,2223
8,712
9,1960
10,1868
11,477
12,2141
13,1402
14,85
15,369
16,1402
17,2223
18,269
19,863
20,1176
21,1551
22,370
23,1243
24,473
25,2040
26,554
27,396
29,1731
30,1868
31,1130
32,656
33,1047
34,215
35,1002
36,1623
37,1787
38,1670
40,262
41,474
42,1294
43,1163
44,1313
45,1523
46,1907
47,657
48,1713
49,1330
50,1565
1,190
2,1343
3,2223
4,657
5,638
6,554
7,1175
8,1294
9,1907
10,396
11,1028
12,85
13,712
14,289
15,1868
16,1402
17,1960
18,1343
19,863
20,477
21,2141
22,1857
23,269
24,1047
26,2223
27,369
28,1782
29,1313
30,2040
31,1402
32,1243
33,554
34,656
35,1623
36,1002
37,1015
38,2063
39,874
40,781
41,1271
42,2167
43,1176
44,1731
45,1523
46,1313
47,1130
48,961
49,1163
50,422
1,188
2,1635
3,1429
4,1343
5,190
6,1028
7,1857
8,1485
9,1635
10,2223
11,638
12,1294
13,554
14,1782
15,863
16,1800
17,1429
18,1175
19,1429
20,85
21,657
22,712
23,1402
24,1635
25,1429
26,396
27,1868
28,477
30,1907
31,1960
32,1047
33,1635
34,1429
35,2063
36,2141
37,863
38,269
39,2167
40,781
41,369
42,656
43,1343
44,1635
45,1313
46,1243
47,2223
48,2040
49,712
50,1623
1,188
2,188
3,188
4,188
5,188
6,1635
7,188
8,1429
9,1028
10,190
11,1343
12,188
13,1857
14,1800
15,2223
16,1294
17,638
18,554
19,1485
20,863
21,1635
22,323
23,1429
24,712
25,1429
26,1402
27,85
28,477
29,1175
30,2141
31,2063
32,1782
33,864
34,1047
35,1429
36,1868
38,369
39,1429
40,396
41,1345
42,657
43,863
44,656
45,1960
46,1623
47,1313
48,1800
49,269
1,188
2,188
3,188
4,188
5,1028
6,1635
7,1429
8,188
9,190
10,188
11,1857
12,1343
13,190
14,2223
15,1800
16,188
17,554
18,1294
19,323
20,638
21,1485
22,1554
23,1429
24,477
25,863
26,2063
27,2141
28,1635
29,1175
30,712
31,759
32,85
33,1047
34,1623
35,863
36,369
37,1429
38,816
39,1429
40,1781
41,1146
42,2223
43,1782
45,1313
46,657
47,1868
48,36
49,874
50,1933
1,655
2,1017
3,655
4,188
5,188
6,1028
7,655
