NaN,가수,작사,작곡,편곡
1,티아라,신사동 호랭이,신사동 호랭이,신사동 호랭이
2,트러블메이커,Rado,신사동 호랭이,신사동 호랭이
3,아이유,김이나,이민수,이민수
4,다이나믹 듀오,다이나믹 듀오,개코,philtre
5,리쌍,개리,길,길
6,다비치,k-Smith,조영수,조영수
7,티아라,안영민,조영수,조영수
8,10cm,이승호,윤일상,NaN
9,이현,방시혁,방시혁,Miss Kay
10,박완규,채정은,송재준,조필성
11,지아,최갑원,최갑원,김진훈
12,다이나믹 듀오,다이나믹 듀오,프라이머리,프라이머리
13,원더걸스,박진영,박진영,NaN
14,허각,Rado,Rado,Rado
15,윤종신,조정치,NaN,NaN
16,일렉트로보이즈,용감한 형제,용감한 형제,NaN
17,엠블랙,이단옆차기,이단옆차기,장준호
18,리쌍,개리,길,알리
19,에이핑크,신사동 호랭이,신사동 호랭이,신사동 호랭이
20,다이나믹 듀오,다이나믹 듀오,최자,플래닛 쉬버
21,노을,최규성,최규성,최규성
22,거미,하해룡,김덕윤,김도훈
23,틴 탑,용감한 형제,용감한 형제,용감한 형제
24,오렌지캬라멜,안영민,조영수,김태현
25,자우림,채정은,윤일상,자우림
26,윤민수,조은희,황세준,황세준
27,울랄라세션,이승철,윤명선,NaN
28,SUPER JUNIOR-D&E ,Peter,Peter,Peter
29,김경호,차은택,박근태,양남승
30,코요태,용감한 형제,용감한 형제,용감한 형제
31,영준,NaN,NaN,NaN
33,브라운 아이드 소울,NaN,NaN,NaN
34,노을,강우경,오성훈,오성훈
35,소녀시대 ,유영진,Teddy Riley,Teddy Riley
36,다이나믹 듀오,다이나믹 듀오,디제이 소울스케이프,디제이 소울스케이프
37,박재범,전군,전군,NaN
38,아이유,아이유,이적,이적
39,Adele,NaN,NaN,NaN
40,Jason Mraz,NaN,NaN,NaN
42,다이나믹 듀오,다이나믹 듀오,Simo,Simo
43,정준하,김민지,윤일상,윤일상
44,이승철,안영민,조영수,NaN
45,다이나믹 듀오,다이나믹 듀오,최자,최자
46,주석,주석,Rado,Rado
47,유재석,노홍철,노홍철,신사동 호랭이
48,인피니트,송수윤,한재호,홍승현
49,아이유,김이나,이민수,이민수
1,정준하,김민지,윤일상,윤일상
2,티아라,신사동 호랭이,신사동 호랭이,신사동 호랭이
3,10cm,이승호,윤일상,NaN
4,유재석,노홍철,노홍철,신사동 호랭이
5,트러블메이커,Rado,신사동 호랭이,신사동 호랭이
6,다이나믹 듀오,다이나믹 듀오,개코,philtre
7,아이유,김이나,이민수,이민수
8,정형돈,윤종신,윤종신,원미솔
9,길,김민지,윤일상,길
10,하하,원태연,Minuki,스컬
11,다비치,k-Smith,조영수,조영수
12,리쌍,개리,길,길
13,틴 탑,용감한 형제,용감한 형제,용감한 형제
14,박명수,개리,박상혁,돈스파이크
15,티아라,안영민,조영수,조영수
16,원티드,최갑원,전상환,PJ
17,노홍철,김광진,김광진,김광진
18,원더걸스,Crystal Nicole Johnson,Crystal Nicole Johnson,NaN
19,엠블랙,이단옆차기,이단옆차기,이단옆차기
20,원더걸스,박진영,박진영,NaN
21,이현,방시혁,방시혁,Miss Kay
22,살찐 고양이,강지원,강지원,강지원
23,허각,Rado,Rado,Rado
24,다이나믹 듀오,다이나믹 듀오,프라이머리,프라이머리
25,지아,최갑원,최갑원,김진훈
26,에이핑크,신사동 호랭이,신사동 호랭이,신사동 호랭이
27,노을,최규성,최규성,최규성
28,일렉트로보이즈,용감한 형제,용감한 형제,NaN
29,Jason Mraz,NaN,NaN,NaN
30,신효범,김형석,김형석,강화성
31,코요태,용감한 형제,용감한 형제,용감한 형제
32,엠블랙,이단옆차기,이단옆차기,장준호
33,리쌍,개리,길,알리
34,윤종신,조정치,NaN,NaN
35,바비 킴,오준성,NaN,NaN
36,울랄라세션,이승철,윤명선,NaN
37,NS 윤지,이단옆차기,이단옆차기,이단옆차기
38,오렌지캬라멜,안영민,조영수,김태현
39,해오라,한상원,한상원,한상원
40,써니힐,김이나,이민수,이민수
41,노을,강우경,오성훈,오성훈
42,Adele,NaN,NaN,NaN
43,소녀시대 ,유영진,Teddy Riley,Teddy Riley
44,김건모,김창환,김창환,NaN
45,다이나믹 듀오,다이나믹 듀오,최자,플래닛 쉬버
46,Beyonce,Ryan Tedder,Ryan Tedder,NaN
47,스피카,GRUZIO,GRUZIO,GRUZIO
48,레인보우 픽시,김혜성,A.I.P,A.I.P
49,박완규,채정은,송재준,조필성
1,린,김박사,김박사,김박사
2,티아라,신사동 호랭이,신사동 호랭이,신사동 호랭이
3,아이유,김이나,이민수,이민수
4,트러블메이커,Rado,신사동 호랭이,신사동 호랭이
5,10cm,이승호,윤일상,NaN
6,정준하,김민지,윤일상,윤일상
7,원더걸스,Crystal Nicole Johnson,Crystal Nicole Johnson,NaN
8,다이나믹 듀오,다이나믹 듀오,개코,philtre
9,써니힐,김이나,이민수,이민수
10,다비치,k-Smith,조영수,조영수
11,효린,김창기,김창기,SWEETCH
12,티아라,안영민,조영수,조영수
13,리쌍,개리,길,길
14,유재석,노홍철,노홍철,신사동 호랭이
15,엠블랙,이단옆차기,이단옆차기,이단옆차기
16,원더걸스,박진영,박진영,NaN
17,틴 탑,용감한 형제,용감한 형제,용감한 형제
18,해오라,한상원,한상원,한상원
19,허각,Rado,Rado,Rado
20,노을,최규성,최규성,최규성
21,원티드,최갑원,전상환,PJ
22,환희,환희,멜로딘 준영,멜로딘 준영
23,제시카,김건우,김건우,김건우
24,하하,원태연,Minuki,스컬
25,에이핑크,신사동 호랭이,신사동 호랭이,신사동 호랭이
26,정형돈,윤종신,윤종신,원미솔
27,울랄라세션,이승철,윤명선,NaN
28,이현,방시혁,방시혁,Miss Kay
29,살찐 고양이,강지원,강지원,강지원
30,SUPER JUNIOR-K.R.Y. ,이승호,윤일상,NaN
31,Sophia Pae,린,이현승,NaN
32,제이세라,NaN,NaN,NaN
33,코요태,용감한 형제,용감한 형제,용감한 형제
34,길,김민지,윤일상,길
35,레인보우 픽시,김혜성,A.I.P,A.I.P
36,빅마마 소울,Brian Kim,서재하,서재하
37,일렉트로보이즈,용감한 형제,용감한 형제,NaN
38,다이나믹 듀오,다이나믹 듀오,프라이머리,프라이머리
39,나인뮤지스,송수윤,한재호,한재호
40,클래지,솔튼페이퍼,NaN,NaN
41,노을,강우경,오성훈,오성훈
42,NS 윤지,이단옆차기,이단옆차기,이단옆차기
43,"베이비 소울, 유지아",안영민,안영민,NaN
44,Jason Mraz,NaN,NaN,NaN
45,지아,최갑원,최갑원,김진훈
46,박명수,개리,박상혁,돈스파이크
47,오렌지캬라멜,안영민,조영수,김태현
48,장기하와 얼굴들,NaN,NaN,NaN
49,김지수,곰돌군,곰돌군,곰돌군
1,린,김박사,김박사,김박사
2,티아라,신사동 호랭이,신사동 호랭이,신사동 호랭이
3,효린,김창기,김창기,SWEETCH
4,비스트,Rado,Rado,Rado
5,아이유,김이나,이민수,이민수
6,트러블메이커,Rado,신사동 호랭이,신사동 호랭이
7,휘성,휘성,휘성,문하
8,10cm,이승호,윤일상,NaN
9,써니힐,김이나,이민수,이민수
10,정준하,김민지,윤일상,윤일상
11,제시카,김건우,김건우,김건우
12,다이나믹 듀오,다이나믹 듀오,개코,philtre
13,다비치,k-Smith,조영수,조영수
14,영준,NaN,NaN,NaN
15,원더걸스,Crystal Nicole Johnson,Crystal Nicole Johnson,NaN
16,해오라,한상원,한상원,한상원
17,티아라,안영민,조영수,조영수
18,틴 탑,용감한 형제,용감한 형제,용감한 형제
19,스컬,스컬,마스터키,마스터키
20,엠블랙,이단옆차기,이단옆차기,이단옆차기
21,리쌍,개리,길,길
22,원티드,최갑원,PJ,PJ
23,유재석,노홍철,노홍철,신사동 호랭이
24,송지은,NaN,NaN,NaN
25,원티드,최갑원,전상환,PJ
26,원더걸스,박진영,박진영,NaN
27,노을,최규성,최규성,최규성
28,Pixie Lott,Phil Thornalley,NaN,NaN
29,태사비애,NaN,NaN,NaN
30,M시그널,박경진,류재현,류재현
31,허각,Rado,Rado,Rado
32,에이핑크,신사동 호랭이,신사동 호랭이,신사동 호랭이
33,제이세라,NaN,NaN,NaN
34,울랄라세션,이승철,윤명선,NaN
35,거미,최은하,윤일상,NaN
36,노을,강우경,오성훈,오성훈
37,살찐 고양이,강지원,강지원,강지원
38,코요태,용감한 형제,용감한 형제,용감한 형제
39,Beyonce,Ryan Tedder,Ryan Tedder,NaN
40,이현,방시혁,방시혁,Miss Kay
42,브라이언,타이거JK,Jeff Hoeppner,Jeff Hoeppner
43,하하,원태연,Minuki,스컬
44,NS 윤지,이단옆차기,이단옆차기,이단옆차기
45,Jason Mraz,NaN,NaN,NaN
46,나인뮤지스,송수윤,한재호,한재호
47,Adele,NaN,NaN,NaN
48,레인보우 픽시,김혜성,A.I.P,A.I.P
49,SUPER JUNIOR-K.R.Y. ,이승호,윤일상,NaN
50,정형돈,윤종신,윤종신,원미솔
1,린,김박사,김박사,김박사
2,티아라,신사동 호랭이,신사동 호랭이,신사동 호랭이
3,SE7EN,NaN,NaN,NaN
4,나윤권,김세진,김세진,NaN
5,FTISLAND,한성호,김도훈,이상호
6,케이윌,민연재,김도훈,김도훈
7,다비치,전해성,전해성,전해성
8,써니힐,김이나,이민수,이민수
9,휘성,휘성,휘성,문하
10,미료,NaN,NaN,NaN
11,트러블메이커,Rado,신사동 호랭이,신사동 호랭이
12,아이유,김이나,이민수,이민수
13,비스트,Rado,Rado,Rado
14,장재인,장재인,강현민,NaN
15,10cm,이승호,윤일상,NaN
16,비스트,용준형,용준형,용준형
17,다비치,k-Smith,조영수,조영수
18,틴 탑,용감한 형제,용감한 형제,용감한 형제
19,효린,김창기,김창기,SWEETCH
20,정준하,김민지,윤일상,윤일상
21,원더걸스,Crystal Nicole Johnson,Crystal Nicole Johnson,NaN
22,다이나믹 듀오,다이나믹 듀오,개코,philtre
23,엠블랙,이단옆차기,이단옆차기,이단옆차기
24,수지,궐,궐,궐
25,해오라,한상원,한상원,한상원
26,티아라,안영민,조영수,조영수
27,먼데이 키즈,한상원,한상원,한상원
29,박진영,박진영,박진영,심은지
30,미료,NaN,NaN,NaN
31,노을,최규성,최규성,최규성
32,블락비,지코,지코,델리보이
33,Rachael Yamagata?,Rachael Yamagata,Rachael Yamagata,NaN
34,M.C THE MAX,박성일,박성일,박성일
35,마리오,우리형과 내동생,이단옆차기,우리형과 내동생
